japName,total,success,unsuccess
image_0157.jpg,56,1,55
image_0156.jpg,48,0,48
image_0155.jpg,48,1,47
image_0161.jpg,41,1,40
image_0160.jpg,42,1,41
image_0164.jpg,50,1,49
image_0163.jpg,41,1,40
image_0167.jpg,44,0,44
image_0166.jpg,58,1,57
image_0165.jpg,44,1,43
image_0162.jpg,39,1,38
image_0159.jpg,48,1,47
image_0154.jpg,54,1,53
image_0149.jpg,49,1,48
image_0143.jpg,53,1,52
image_0137.jpg,60,1,59
image_0169.jpg,48,1,47
image_0168.jpg,40,1,39
image_0175.jpg,59,1,58
image_0174.jpg,53,1,52
image_0173.jpg,49,1,48
image_0172.jpg,45,1,44
image_0171.jpg,46,1,45
image_0181.jpg,53,1,52
image_0180.jpg,39,1,38
image_0179.jpg,52,1,51
image_0178.jpg,56,1,55
image_0177.jpg,56,1,55
image_0185.jpg,49,1,48
image_0184.jpg,43,1,42
image_0183.jpg,52,1,51
image_0189.jpg,57,1,56
image_0188.jpg,57,1,56
image_0187.jpg,56,1,55
image_0192.jpg,43,0,43
image_0191.jpg,57,1,56
image_0190.jpg,51,1,50
image_0186.jpg,49,1,48
image_0182.jpg,53,1,52
image_0176.jpg,60,1,59
image_0170.jpg,51,1,50
image_0195.jpg,54,1,53
image_0194.jpg,53,1,52
image_0193.jpg,53,1,52
image_0199.jpg,47,1,46
image_0198.jpg,63,0,63
image_0197.jpg,50,1,49
image_0202.jpg,45,0,45
image_0201.jpg,54,1,53
image_0200.jpg,57,1,56
image_0196.jpg,48,1,47
image_0208.jpg,40,1,39
image_0207.jpg,43,1,42
image_0206.jpg,36,0,36
image_0205.jpg,44,1,43
image_0204.jpg,40,0,40
image_0213.jpg,45,1,44
image_0212.jpg,43,1,42
image_0211.jpg,50,1,49
image_0210.jpg,34,0,34
image_0218.jpg,34,0,34
image_0217.jpg,46,1,45
image_0216.jpg,44,1,43
image_0215.jpg,43,0,43
image_0221.jpg,45,1,44
image_0220.jpg,35,1,34
image_0224.jpg,37,1,36
image_0223.jpg,47,1,46
image_0226.jpg,46,0,46
image_0225.jpg,44,0,44
image_0222.jpg,41,1,40
image_0219.jpg,47,1,46
image_0214.jpg,41,1,40
image_0209.jpg,50,1,49
image_0203.jpg,41,1,40
image_0230.jpg,43,1,42
image_0229.jpg,48,1,47
image_0228.jpg,48,1,47
image_0232.jpg,42,1,41
image_0231.jpg,40,1,39
image_0227.jpg,42,1,41
image_0235.jpg,37,1,36
image_0234.jpg,39,1,38
image_0233.jpg,45,1,44
image_0241.jpg,45,0,45
image_0240.jpg,42,0,42
image_0239.jpg,45,1,44
image_0238.jpg,45,1,44
image_0237.jpg,46,1,45
image_0246.jpg,40,0,40
image_0245.jpg,42,0,42
image_0244.jpg,37,0,37
image_0243.jpg,32,0,32
image_0249.jpg,35,0,35
image_0248.jpg,31,0,31
image_0252.jpg,39,0,39
image_0251.jpg,35,0,35
image_0255.jpg,41,0,41
image_0254.jpg,36,0,36
image_0253.jpg,45,0,45
image_0250.jpg,40,0,40
image_0247.jpg,38,0,38
image_0242.jpg,35,0,35
image_0236.jpg,48,1,47
image_0258.jpg,43,0,43
