    instance #	Best UB TS Solution
10_Tao1 R1			
	4	131.25	131.14
	5	119.76	119.66
	6	142.00	142.00
	7	132.00	132.00
	8	97.50	97.50
	9	114.07	114.00
	10	154.00	154.00
15_Tao9 R7			
	1	145.28	145.28
	2	145.62	145.50
	3	132.06	132.00
	4	145.00	145.00
	5	117.07	117.00
	6	125.23	125.23
	7	135.00	135.00
	8	145.92	145.92
	9	120.97	120.85
	10	105.30	105.25
15_Tao9 R9			
	1	91.00	91.00
	2	135.98	135.84
	3	141.50	141.37
	4	146.00	146.00
	5	138.44	138.33
	6	135.00	135.00
	7	151.06	151.01
	8	141.22	141.22
	9	104.38	104.29
	10	101.10	101.00
20_Tao1 R1			
	1	213.00	205.00
	2	219.00	209.00
	3	224.00	214.00
	4	207.00	204.00
	5	193.00	187.00
	6	233.00	226.00
	7	195.00	191.00
	8	225.00	220.00
	9	237.00	228.00
	10	220.00	213.00
20_Tao1 R3			
	1	252.00	244.16
	2	248.00	238.00
	3	185.00	180.00
	4	245.00	243.00
	5	215.00	206.50
	6	232.00	226.00
	7	228.00	223.00
	8	214.00	206.00
	9	259.00	246.00
	10	198.00	189.00
20_Tao1 R5			
	1	223.00	219.67
	2	247.00	241.00
	3	230.00	224.00
	4	248.00	245.00
	5	210.00	208.00
	6	228.00	225.00
	7	243.00	241.00
	8	259.00	254.00
	9	230.00	223.00
	10	243.00	235.00
20_Tao1 R7			
	1	247.00	245.00
	2	249.00	246.00
	3	230.00	230.00
	4	238.00	238.00
	5	239.00	236.23
	6	222.00	222.00
	7	241.00	241.00
	8	228.00	225.00
	9	156.00	153.00
	10	211.00	211.00
20_Tao1 R9			
	1	232.00	226.00
	2	242.00	240.00
	3	223.00	223.00
	4	227.00	224.00
	5	197.00	197.00
	6	230.00	221.00
	7	198.00	196.00
	8	195.00	193.00
	9	220.00	218.00
	10	214.00	214.00
20_Tao3 R1			
	1	183.00	169.00
	2	192.00	183.00
	3	191.00	183.00
	4	210.00	201.00
	5	247.00	235.00
	6	234.00	228.00
	7	243.00	239.00
	8	202.00	193.00
	9	255.00	236.00
	10	190.00	181.00
20_Tao3 R3			
	1	189.00	183.00
	2	193.00	181.00
	3	183.00	176.00
	4	232.00	219.00
	5	206.00	197.00
	6	225.00	211.00
	7	241.00	228.00
	8	245.00	236.00
	9	208.00	201.00
	10	228.00	215.00
20_Tao3 R5			
	1	228.00	217.00
	2	243.00	234.00
	3	242.00	231.00
	4	259.00	254.00
	5	230.00	215.00
	6	243.00	226.00
	7	247.00	237.00
	8	244.00	225.44
	9	156.00	147.00
	10	228.00	214.00
20_Tao3 R7			
	1	241.00	233.00
	2	232.00	229.00
	3	242.00	237.00
	4	223.00	220.00
	5	227.00	219.00
	6	197.00	187.73
	7	230.00	214.00
	8	198.00	194.00
	9	195.00	191.00
	10	220.00	208.00
20_Tao3 R9			
	1	187.00	185.00
	2	200.00	191.13
	3	212.00	207.00
	4	201.00	201.00
	5	256.00	244.00
	6	248.00	248.00
	7	247.00	245.00
	8	217.00	213.00
	9	217.00	208.00
	10	262.00	257.00
20_Tao5 R1			
	1	206.00	196.00
	2	233.00	219.00
	3	224.00	211.00
	4	235.00	222.00
	5	220.00	208.00
	6	219.00	203.00
	7	186.00	175.00
	8	221.00	204.00
	9	194.00	187.00
	10	188.00	178.00
20_Tao5 R3			
	1	213.00	195.00
	2	212.00	206.00
	3	183.00	169.00
	4	192.00	179.00
	5	210.00	203.00
	6	195.00	182.00
	7	251.00	228.00
	8	238.00	221.00
	9	243.00	233.00
	10	202.00	187.80
20_Tao5 R5			
	1	209.00	193.00
	2	260.00	246.00
	3	194.00	188.00
	4	247.00	224.00
